sha,message,label,predicted,prob_CommitLabel.BugFix
8bd2486b519ed6dcdc638843514d9034b7f3c49f,"HADOOP-6148. Implement a fast, pure Java CRC32- calculator which outperforms java.util.zip.CRC32.  Contributed by Todd Lipcon- and Scott Carey--git-svn-id: https://svn.apache.org/repos/asf/hadoop/common/trunk@794944 13f79535-47bb-0310-9956-ffa450edef68-",CommitLabel.NonBugFix,0,0.17
a376c8da9d3fa0e8b600b69cdc30c9fb0d303709,HBASE-12366 Add login code to HBase Canary tool- (Srikanth Srungarapu)--,CommitLabel.NonBugFix,0,0.17
d9a4fb410d6608260a597b1d72b9153c585caa5d,"Introduce ""dummy"" Environment implementation--For testing purposes in which an Environment implementation is required-but a ConfigurableEnvironment is not desirable.--All methods are no-ops and return null, therefore NPEs are likely.-",CommitLabel.NonBugFix,0,0.17
1eee950ac167c1bc02918819c84e6cccb9eebb5f,OPLA: supported invocation of Java static methods--,CommitLabel.NonBugFix,0,0.17
2d6a57d5727d4db527caffd7827d60bb2e303846,CAMEL-3014 camel-josql should have SQL language- META-INF which can be found automatically by camel-core--git-svn-id: https://svn.apache.org/repos/asf/camel/trunk@980675 13f79535-47bb-0310-9956-ffa450edef68-,CommitLabel.NonBugFix,0,0.17
3b73c810de961f01ab2dd27710c7e17a0490e208,Started support for server-side triggers--,CommitLabel.NonBugFix,0,0.17
296b6b2f5757d2f8100daef0d2507183deeca77a,use custom similarity in search (if there is one)--,CommitLabel.NonBugFix,0,0.17
28696f9d6030a11da29b47c760026b7568002df8,Try keyword--,CommitLabel.NonBugFix,0,0.17
950786a8cc1a83dde6e590f59958f9ada8699288,Add Jackson2ObjectMapperBeanFactory--Issue: SPR-9739-,CommitLabel.NonBugFix,1,1.0
c5c3e019a461fedf064eef019f4536f00df61dec," - Continued support for non-blocking HTTPS to the- internal NIO connectors, client-side and server-side.--",CommitLabel.NonBugFix,0,0.17
538d245ba9744f57d66724982db4850e6d3ba226,Implement a cached thread scheduler using event- loops--,CommitLabel.NonBugFix,0,0.17
e3f99578304cb30f1b59c34a4193b9b700f3566a,HBASE-12176 WALCellCodec Encoders support for- non-KeyValue Cells (Anoop Sam John)--,CommitLabel.NonBugFix,0,0.17
d585683650c8e2664b86ccc0aeef080d3b417d1d,ServerResource now supports empty POST and PUT- requests.--,CommitLabel.NonBugFix,0,0.17
28725723398943b2b51cb38d6fe92a3aadf4dee6,-now works with non DroolsObjectInputStream- serialization.--git-svn-id: https://svn.jboss.org/repos/labs/labs/jbossrules/trunk@13207 c60d74c8-e8f6-0310-9e8f-d4a2fc68ab70-,CommitLabel.NonBugFix,0,0.17
f6bfcd9709fac61e3c4efe537f0b634bd9f6a09f, - Continued NIO connector--,CommitLabel.NonBugFix,0,0.17
b33db73c932cd41bc19b9f5018c94c673dbe23d0,SPR-5251: URI Templates for @InitBinder--,CommitLabel.NonBugFix,0,0.17
012afd9ecc4659a2a86a1cd13a4af629bdcbc34a,Added support of Ranges.--,CommitLabel.NonBugFix,0,0.17
42a3811fac0111978f65514801c080e48bee41fc,"[DROOLS-383] support for switch over String-- * Eclipse compiler has a least known documented configuration-   property ""org.eclipse.jdt.core.compiler.compliance"" which-   needs to be set along with the 'org.eclipse.jdt.core.compiler.source'-   and 'org.eclipse.jdt.core.compiler.codegen.targetPlatform' properties.-- * this is going to work only when the underlaying JVM is 7+-",CommitLabel.NonBugFix,0,0.17
44d92d8eb39b176c23209f26a69bb1febae8e812,Support for checking loaded descriptors agains an- expected txt file--,CommitLabel.NonBugFix,0,0.17
a141ff2a7973b379f6b4d1aa9178f0750d6502fd,HBASE-4460  Support running an embedded- ThriftServer within a RegionServer (jgray)--git-svn-id: https://svn.apache.org/repos/asf/hbase/trunk@1186586 13f79535-47bb-0310-9956-ffa450edef68-,CommitLabel.NonBugFix,0,0.17
710ae3a9d2fbcb6767872656d82b2edaeb6e0656,"SpringJUnit4ClassRunnerAppCtxTests now verifies- seamless support for using @Inject in addition to @Autowired, etc.--",CommitLabel.NonBugFix,0,0.17
9a5abf368f2c5ef996b8cb7185719bcb78fe2b36,Constraint incorporation--In a constraint system a new bound is incorporated:-all new constrains that can be derived from it-(and from existing ones) are added-,CommitLabel.NonBugFix,0,0.17
30f9f278c3430f9e936f566ee8b3394f86f2b01e,Added UNICODE_CHARACTER_CLASS support to Regex- flags. This flag is only supported in Java7 and is ignored if set on a java 6- JVM--Closes -2895-,CommitLabel.NonBugFix,0,0.17
